SEF	0.0.1
ID	DWR_Dolores
Name	Dolores
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	dd
Units	degree
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	9	4	1117	0	135	Orig=SE
1902	9	5	1117	0	45	Orig=NE
1902	9	6	1117	0	45	Orig=NE
1902	9	8	1117	0	180	Orig=S
1902	9	10	1117	0	90	Orig=E
1902	9	11	1117	0	135	Orig=SE
1902	9	12	1117	0	135	Orig=SE
1902	9	13	1117	0	45	Orig=NE
1902	9	14	1117	0	45	Orig=NE
1902	9	15	1117	0	225	Orig=SW
1902	9	16	1117	0	90	Orig=E
1902	9	17	1117	0	315	Orig=NW
1902	9	18	1117	0	45	Orig=NE
1902	9	19	1117	0	180	Orig=S
1902	9	22	1117	0	180	Orig=S
1902	9	23	1117	0	270	Orig=W
1902	9	24	1117	0	180	Orig=S
1902	9	25	1117	0	270	Orig=W
1902	9	26	1117	0	270	Orig=W
1902	9	27	1117	0	225	Orig=SW
1902	9	28	1117	0	135	Orig=SE
1902	9	30	1117	0	180	Orig=S
1902	10	1	1117	0	225	Orig=SW
1902	10	2	1117	0	225	Orig=SW
1902	10	3	1117	0	270	Orig=W
1902	10	7	1117	0	135	Orig=SE
1902	10	8	1117	0	225	Orig=SW
1902	10	9	1117	0	0	Orig=N
1902	10	11	1117	0	180	Orig=S
1902	10	12	1117	0	225	Orig=SW
1902	10	13	1117	0	225	Orig=SW
1902	10	14	1117	0	315	Orig=NW
1902	10	15	1117	0	0	Orig=N
1902	10	16	1117	0	0	Orig=N
1902	12	1	1117	0	45	Orig=NE
1902	12	2	1117	0	315	Orig=NW
1902	12	3	1117	0	90	Orig=E
1902	12	4	1117	0	135	Orig=SE
1902	12	5	1117	0	180	Orig=S
1902	12	6	1117	0	315	Orig=NW
1902	12	7	1117	0	135	Orig=SE
1902	12	8	1117	0	225	Orig=SW
1902	12	9	1117	0	180	Orig=S
1902	12	11	1117	0	225	Orig=SW
1902	12	12	1117	0	0	Orig=N
1902	12	13	1117	0	225	Orig=SW
1902	12	15	1117	0	45	Orig=NE
1902	12	16	1117	0	270	Orig=W
1902	12	17	1117	0	0	Orig=N
1902	12	18	1117	0	135	Orig=SE
1902	12	20	1117	0	90	Orig=E
1902	12	21	1117	0	45	Orig=NE
1902	12	22	1117	0	45	Orig=NE
1902	12	23	1117	0	225	Orig=SW
1902	12	24	1117	0	45	Orig=NE
1902	12	25	1117	0	180	Orig=S
1902	12	26	1117	0	315	Orig=NW
1902	12	27	1117	0	45	Orig=NE
1902	12	28	1117	0	135	Orig=SE
1902	12	29	1117	0	135	Orig=SE
1902	12	31	1117	0	135	Orig=SE
