SEF	0.2.0
ID	DWR_San_Martin
Name	San Martin
Lat	-33.083
Lon	-68.47
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085991
Vbl	mslp
Stat	point
Units	Pa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	2	21	18	17	0	101352	Orig=760.2mm|orig.time=2pm
1902	2	22	18	17	0	101418	Orig=760.7mm|orig.time=2pm
1902	2	24	18	17	0	100872	Orig=756.6mm|orig.time=2pm
1902	2	25	18	17	0	100565	Orig=754.3mm|orig.time=2pm
1902	2	26	18	17	0	100752	Orig=755.7mm|orig.time=2pm
1902	2	27	18	17	0	100258	Orig=752mm|orig.time=2pm
1902	2	28	18	17	0	101032	Orig=757.8mm|orig.time=2pm
1902	3	1	18	17	0	101072	Orig=758.1mm|orig.time=2pm
1902	3	2	18	17	0	100592	Orig=754.5mm|orig.time=2pm
1902	3	3	18	17	0	100538	Orig=754.1mm|orig.time=2pm
1902	3	4	18	17	0	100312	Orig=752.4mm|orig.time=2pm
1902	3	5	18	17	0	101272	Orig=759.6mm|orig.time=2pm
1902	3	6	18	17	0	100805	Orig=756.1mm|orig.time=2pm
1902	3	7	18	17	0	100912	Orig=756.9mm|orig.time=2pm
1902	3	8	18	17	0	101165	Orig=758.8mm|orig.time=2pm
1902	3	9	18	17	0	101112	Orig=758.4mm|orig.time=2pm
1902	3	10	18	17	0	100965	Orig=757.3mm|orig.time=2pm
1902	3	12	18	17	0	100338	Orig=752.6mm|orig.time=2pm
1902	3	13	18	17	0	101125	Orig=758.5mm|orig.time=2pm
1902	3	14	18	17	0	101325	Orig=760mm|orig.time=2pm
1902	3	15	18	17	0	100805	Orig=756.1mm|orig.time=2pm
1902	3	16	18	17	0	100685	Orig=755.2mm|orig.time=2pm
1902	3	19	18	17	0	100578	Orig=754.4mm|orig.time=2pm
1902	3	21	18	17	0	100992	Orig=757.5mm|orig.time=2pm
1902	3	22	18	17	0	101272	Orig=759.6mm|orig.time=2pm
1902	3	23	18	17	0	101072	Orig=758.1mm|orig.time=2pm
1902	3	24	18	17	0	100738	Orig=755.6mm|orig.time=2pm
1902	3	25	18	17	0	100645	Orig=754.9mm|orig.time=2pm
1902	3	26	18	17	0	101565	Orig=761.8mm|orig.time=2pm
1902	3	27	18	17	0	101405	Orig=760.6mm|orig.time=2pm
1902	3	30	18	17	0	101525	Orig=761.5mm|orig.time=2pm
1902	3	31	18	17	0	100645	Orig=754.9mm|orig.time=2pm
1902	4	2	18	17	0	100978	Orig=757.4mm|orig.time=2pm
1902	4	3	18	17	0	101352	Orig=760.2mm|orig.time=2pm
1902	4	5	18	17	0	101712	Orig=762.9mm|orig.time=2pm
1902	4	6	18	17	0	101512	Orig=761.4mm|orig.time=2pm
1902	4	7	18	17	0	101045	Orig=757.9mm|orig.time=2pm
1902	4	8	18	17	0	100858	Orig=756.5mm|orig.time=2pm
1902	4	9	18	17	0	100938	Orig=757.1mm|orig.time=2pm
1902	4	10	18	17	0	100792	Orig=756mm|orig.time=2pm
1902	4	12	18	17	0	100965	Orig=757.3mm|orig.time=2pm
1902	4	13	18	17	0	100992	Orig=757.5mm|orig.time=2pm
1902	4	14	18	17	0	100938	Orig=757.1mm|orig.time=2pm
1902	4	16	18	17	0	100792	Orig=756mm|orig.time=2pm
